,id_numeric,name,id_origina,source,n_mines,avg_m_area,area_mines,density_mines
83,19030303,Lower Nushagak River,19030303,IJC,0.0,0.0,0.0,0.0
84,19030304,Wood River,19030304,IJC,0.0,0.0,0.0,0.0
85,19030305,Togiak,19030305,IJC,0.0,0.0,0.0,0.0
86,19030306,Nushagak Bay,19030306,IJC,0.0,0.0,0.0,0.0
87,19030401,North Fork Kuskokwim River,19030401,IJC,0.0,0.0,0.0,0.0
88,19030403,Takotna River,19030403,IJC,3.0,1.4366822128499999,4.3100466385523974,0.0007473716777176263
89,19030404,Holitna River,19030404,IJC,1.0,0.308407046167,0.30840704616811865,1.8610427865306397e-05
90,19030405,Stony River,19030405,IJC,0.0,0.0,0.0,0.0
91,19030406,Middle Fork Kuskokwim River,19030406,IJC,0.0,0.0,0.0,0.0
92,19030407,South Fork Kuskokwim River,19030407,IJC,0.0,0.0,0.0,0.0
93,19030501,Aniak,19030501,IJC,14.0,1.1435701604807358,16.009982246716287,0.0009875639979637545
94,19030502,Kuskokwim Delta,19030502,IJC,8.0,3.0887724058505,24.710179246829973,0.00038205857739572493
95,19030503,Nunavak-St.Matthew Islands,19030503,IJC,0.0,0.0,0.0,0.0
96,19050101,St. Lawrence Island,19050101,IJC,0.0,0.0,0.0,0.0
97,19050102,Unalakleet,19050102,IJC,0.0,0.0,0.0,0.0
98,19050103,Norton Bay,19050103,IJC,6.0,0.37045309365318324,2.086493228831926,0.000128980553235686
99,19050104,Nome,19050104,IJC,44.0,0.8825907457009647,37.991216441232105,0.0025753023183628506
100,19050105,Imuruk Basin,19050105,IJC,20.0,0.29306682909578297,5.861336581909364,0.00045723418489851056
101,19050201,Shishmaref,19050201,IJC,2.0,2.9358690764906497,0.8989475640947564,8.37762218554205e-05
102,19050202,Goodhope-Spafarief Bay,19050202,IJC,11.0,0.9324085440465455,9.64297379348431,0.0009381522835569925
103,19050203,Buckland River,19050203,IJC,2.0,1.3704882306015,2.740976461196277,0.00029995380149938264
104,19050301,Selawik Lake,19050301,IJC,0.0,0.0,0.0,0.0
105,19050302,Upper Kobuk River,19050302,IJC,0.0,0.0,0.0,0.0
106,19050303,Middle Kobuk River,19050303,IJC,0.0,0.0,0.0,0.0
107,19050304,Lower Kobuk River,19050304,IJC,0.0,0.0,0.0,0.0
108,19050401,Upper Noatak River,19050401,IJC,0.0,0.0,0.0,0.0
109,19050402,Middle Noatak River,19050402,IJC,0.0,0.0,0.0,0.0
110,19050403,Lower Noatak River,19050403,IJC,0.0,0.0,0.0,0.0
111,19050404,Wulik-Kivalina Rivers,19050404,IJC,2.0,6.395711024129549,12.791422048270244,0.001652814723122925
112,19050405,Lisburne Peninsula,19050405,IJC,0.0,0.0,0.0,0.0
113,19060101,Kukpowruk River,19060101,IJC,0.0,0.0,0.0,0.0
114,19060102,Kokolik River,19060102,IJC,0.0,0.0,0.0,0.0
115,19060103,Utukok River,19060103,IJC,0.0,0.0,0.0,0.0
116,19060201,Kuk River,19060201,IJC,0.0,0.0,0.0,0.0
117,19060202,Northwest Coast,19060202,IJC,0.0,0.0,0.0,0.0
118,19060203,Meade River,19060203,IJC,0.0,0.0,0.0,0.0
119,19060204,Ikpikpuk River,19060204,IJC,0.0,0.0,0.0,0.0
120,19060205,Harrison Bay,19060205,IJC,0.0,0.0,0.0,0.0
121,19060206,Admiralty Bay-Dease Inlet,19060206,IJC,0.0,0.0,0.0,0.0
122,19060301,Upper Colville River,19060301,IJC,0.0,0.0,0.0,0.0
123,19060302,Killik River,19060302,IJC,0.0,0.0,0.0,0.0
124,19060303,Chandler-Anaktuvuk Rivers,19060303,IJC,0.0,0.0,0.0,0.0
125,19060304,Lower Colville River,19060304,IJC,0.0,0.0,0.0,0.0
126,19060401,Kuparuk River,19060401,IJC,0.0,0.0,0.0,0.0
127,19060402,Sagavanirktok River,19060402,IJC,0.0,0.0,0.0,0.0
128,19060403,Mikkelson Bay,19060403,IJC,0.0,0.0,0.0,0.0
129,19060501,Canning River,19060501,IJC,0.0,0.0,0.0,0.0
130,19060502,Camden Bay,19060502,IJC,0.0,0.0,0.0,0.0
131,19060504,Kongakut River-Beaufort Lagoon,19060504,IJC,0.0,0.0,0.0,0.0
132,19060505,Firth River,19060505,IJC,0.0,0.0,0.0,0.0
133,19060506,Babbage River,19060506,IJC,0.0,0.0,0.0,0.0
134,19070101,Atlin Lake,19070101,IJC,20.0,2.1688233224251503,43.37646644852619,0.006288643090071645
135,19070102,Bennett Lake,19070102,IJC,3.0,0.0711665638363,0.2058687701074132,5.81946551889694e-05
136,19070103,Tagish Lake,19070103,IJC,8.0,0.08710072987609749,0.6435460745356155,0.00011417039238459008
137,19070104,Takhini River,19070104,IJC,1.0,0.023187809777400002,0.023187809777375057,2.855899090561902e-06
